lambda_star,lambda_grp,validation_sharpe
1e-06,1e-06,16.989152196453198
1e-06,5e-06,17.369438088120578
1e-06,1e-05,17.36222235949724
1e-06,5e-05,17.182307932716537
1e-06,0.0001,16.98898543823414
1e-06,0.0005,16.2793401012123
5e-06,1e-06,17.473564632583965
5e-06,5e-06,17.80529542489825
5e-06,1e-05,17.860962216576745
5e-06,5e-05,17.654367917075852
5e-06,0.0001,17.424860547374358
5e-06,0.0005,16.674529318814493
1e-05,1e-06,17.469924086297542
1e-05,5e-06,17.852977203390182
1e-05,1e-05,17.894163867092423
1e-05,5e-05,17.659789912270362
1e-05,0.0001,17.512269635556805
1e-05,0.0005,16.737142769848354
5e-05,1e-06,17.243445307910992
5e-05,5e-06,17.60390869182261
5e-05,1e-05,17.678499996589252
5e-05,5e-05,17.447521179406703
5e-05,0.0001,17.24308600710487
5e-05,0.0005,16.50647884051405
0.0001,1e-06,16.990985854983094
0.0001,5e-06,17.370395716009703
0.0001,1e-05,17.392739822423422
0.0001,5e-05,17.196901484600843
0.0001,0.0001,17.015011298831148
0.0001,0.0005,16.23516706352014
0.0005,1e-06,16.029732335272346
0.0005,5e-06,16.386317877987402
0.0005,1e-05,16.44888311948052
0.0005,5e-05,16.233002463080524
0.0005,0.0001,16.062721573155983
0.0005,0.0005,15.2987145597068
